               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11648,             0.02131,            0.028531,           0.0018542,              0.4075,            0.002198,          0.00046795,            0.097448,            0.014733,            0.028011,              0.0946,              0.0006,              0.0006
                   1,             0.10512,            0.024272,            0.027223,           0.0023892,              0.5375,           0.0053823,           0.0011638,            0.083675,            0.015221,            0.025533,            0.088296,           0.0012957,           0.0012957
                   2,            0.089691,            0.025773,            0.024293,            0.065766,             0.21724,            0.072719,            0.016694,            0.070159,            0.015874,            0.022482,            0.081987,           0.0019868,           0.0019868
                   3,            0.080527,            0.027402,            0.022944,             0.11171,              0.2375,             0.10658,            0.025436,            0.064124,            0.015234,            0.019372,            0.075673,           0.0026733,           0.0026733
                   4,            0.075227,            0.027345,            0.019108,             0.16981,               0.215,             0.08427,            0.020248,            0.060686,            0.014632,            0.016183,            0.069355,           0.0033551,           0.0033551
                   5,            0.069811,            0.026534,            0.018312,             0.69051,             0.19237,              0.2434,            0.066043,            0.056568,            0.014986,            0.013843,            0.063032,           0.0040324,           0.0040324
                   6,            0.065315,            0.022799,            0.015016,             0.48277,             0.53125,             0.48602,             0.14559,            0.056614,            0.012964,            0.011061,            0.056705,            0.004705,            0.004705
                   7,            0.065399,             0.01953,            0.016334,             0.38561,             0.60813,             0.40379,             0.12446,            0.061894,            0.010816,           0.0097978,            0.050373,           0.0053729,           0.0053729
                   8,            0.064324,            0.020305,            0.013068,             0.41957,             0.56843,             0.47343,              0.1754,            0.049913,            0.010849,           0.0080923,            0.044036,           0.0060363,           0.0060363
                   9,            0.062841,            0.021405,            0.011963,              0.4553,             0.47437,             0.45155,             0.14967,            0.059253,           0.0097468,           0.0056914,            0.037695,           0.0066951,           0.0066951
                  10,            0.064732,            0.019028,           0.0086091,             0.27348,             0.62375,             0.31171,             0.11386,            0.059877,           0.0098574,           0.0042482,            0.031349,           0.0073492,           0.0073492
                  11,            0.067634,            0.016774,           0.0094195,              0.4352,             0.52375,             0.45542,             0.12864,            0.062882,            0.008807,           0.0038542,            0.024999,           0.0079987,           0.0079987
                  12,            0.066265,            0.017326,           0.0079082,             0.45074,                0.59,             0.56449,              0.2042,            0.061547,           0.0091207,            0.005172,            0.018644,           0.0086436,           0.0086436
                  13,            0.059892,            0.016818,           0.0071588,             0.53544,             0.58042,             0.57524,             0.19839,            0.059265,           0.0099273,           0.0057089,            0.012284,           0.0092839,           0.0092839
                  14,            0.063151,            0.016854,           0.0076751,             0.46538,             0.56681,             0.53299,              0.1796,            0.052072,           0.0099986,           0.0074574,            0.009538,            0.009538,            0.009538
                  15,            0.060452,            0.015186,           0.0070382,             0.63709,             0.68193,             0.70442,             0.26273,            0.051668,           0.0098679,           0.0020798,            0.009538,            0.009538,            0.009538
                  16,            0.055549,            0.015517,           0.0078316,             0.46718,             0.66687,              0.5562,             0.19531,            0.052758,            0.010283,           0.0027573,            0.009505,            0.009505,            0.009505
                  17,            0.053105,            0.014728,           0.0065867,             0.58544,             0.72625,             0.65149,             0.24927,            0.051203,            0.010327,           0.0025955,            0.009472,            0.009472,            0.009472
                  18,            0.053741,            0.015015,           0.0043994,              0.5801,             0.83313,             0.72443,             0.25757,            0.046337,             0.01066,           0.0026097,            0.009439,            0.009439,            0.009439
                  19,            0.051021,            0.014592,            0.004132,             0.61498,                 0.8,             0.73619,              0.2852,            0.044158,           0.0091672,           0.0018022,            0.009406,            0.009406,            0.009406
                  20,            0.051718,            0.014415,            0.003754,             0.66661,             0.77629,             0.77947,             0.29815,            0.043129,           0.0093314,           0.0044272,            0.009373,            0.009373,            0.009373
                  21,            0.050219,            0.016021,           0.0039257,             0.55611,             0.76438,             0.67738,             0.26803,            0.043274,             0.01114,            0.009098,             0.00934,             0.00934,             0.00934
                  22,            0.050162,            0.013437,           0.0040473,             0.52151,             0.73762,             0.56319,             0.20243,            0.045501,           0.0087079,           0.0064087,            0.009307,            0.009307,            0.009307
                  23,            0.048578,             0.01315,           0.0033786,             0.79296,             0.92051,             0.88512,             0.38689,            0.041632,           0.0080881,           0.0013294,            0.009274,            0.009274,            0.009274
                  24,            0.047787,            0.014526,           0.0039609,             0.87857,               0.885,             0.89579,             0.37307,            0.038248,           0.0081203,           0.0017537,            0.009241,            0.009241,            0.009241
                  25,            0.044901,            0.012964,           0.0044986,             0.76073,             0.87552,             0.87293,             0.37258,            0.038525,            0.008392,           0.0016695,            0.009208,            0.009208,            0.009208
                  26,            0.044696,            0.013233,           0.0038535,             0.72227,              0.8575,             0.78494,             0.30659,            0.039052,           0.0072566,             0.00192,            0.009175,            0.009175,            0.009175
                  27,            0.044996,            0.013286,           0.0061168,             0.87796,             0.84506,             0.91807,             0.41709,            0.035648,           0.0069379,           0.0032639,            0.009142,            0.009142,            0.009142
                  28,             0.04348,             0.01464,           0.0063393,             0.78637,               0.895,             0.84654,             0.36812,            0.037013,           0.0068448,           0.0024359,            0.009109,            0.009109,            0.009109
                  29,            0.042863,            0.012463,           0.0043426,              0.8578,             0.86864,             0.90895,             0.37886,            0.037018,           0.0065734,           0.0035995,            0.009076,            0.009076,            0.009076
                  30,            0.042957,            0.013045,           0.0048796,             0.84526,             0.92376,             0.89872,             0.37337,             0.03718,           0.0065579,           0.0018209,            0.009043,            0.009043,            0.009043
                  31,             0.04238,            0.013198,           0.0030333,             0.86515,             0.88766,             0.91141,             0.38639,            0.036011,           0.0073295,           0.0034122,             0.00901,             0.00901,             0.00901
                  32,            0.044226,            0.013699,           0.0029475,             0.71948,             0.78438,             0.77474,             0.31601,            0.039726,           0.0075533,           0.0037597,            0.008977,            0.008977,            0.008977
                  33,            0.039751,            0.012728,            0.004358,             0.78183,             0.74562,             0.77269,             0.25151,            0.048671,           0.0072766,           0.0047199,            0.008944,            0.008944,            0.008944
                  34,            0.041412,            0.011612,           0.0023171,             0.94331,             0.94236,             0.97474,             0.48059,            0.032147,            0.006656,           0.0010356,            0.008911,            0.008911,            0.008911
                  35,            0.039058,            0.013344,            0.004907,             0.93369,             0.96188,             0.97239,             0.49246,            0.031019,           0.0067854,           0.0024313,            0.008878,            0.008878,            0.008878
                  36,            0.040071,            0.012002,           0.0030978,             0.93222,             0.94828,             0.96156,             0.49714,            0.029807,           0.0071041,            0.003453,            0.008845,            0.008845,            0.008845
                  37,            0.039622,            0.011091,           0.0034379,             0.79514,             0.83592,             0.87287,             0.42784,            0.032721,           0.0088225,            0.003124,            0.008812,            0.008812,            0.008812
                  38,            0.042416,            0.012124,           0.0029711,             0.83304,             0.81972,              0.8507,             0.38491,            0.035948,           0.0085453,           0.0042271,            0.008779,            0.008779,            0.008779
                  39,            0.038504,            0.011557,           0.0034645,             0.92287,             0.86826,             0.93079,             0.46873,             0.03362,           0.0069507,           0.0024547,            0.008746,            0.008746,            0.008746
                  40,            0.040443,            0.013008,            0.002615,             0.88274,             0.95875,             0.95628,              0.4975,            0.032279,           0.0061151,           0.0012876,            0.008713,            0.008713,            0.008713
                  41,            0.039359,            0.012401,           0.0045349,             0.92935,             0.89501,             0.95801,             0.46604,            0.032834,           0.0062402,           0.0015574,             0.00868,             0.00868,             0.00868
                  42,            0.036971,            0.011876,           0.0026711,             0.82045,             0.91104,             0.87755,             0.44159,            0.031687,           0.0061205,           0.0027823,            0.008647,            0.008647,            0.008647
                  43,            0.038779,            0.012597,           0.0023319,             0.98234,             0.97666,             0.98787,             0.52977,            0.028576,           0.0058263,           0.0012527,            0.008614,            0.008614,            0.008614
                  44,            0.039439,            0.013055,           0.0024704,              0.9548,             0.94915,             0.97507,             0.50519,            0.029921,           0.0059778,           0.0013252,            0.008581,            0.008581,            0.008581
                  45,            0.037993,            0.012215,            0.002049,              0.9522,             0.94933,             0.97321,             0.53507,            0.029316,           0.0061057,           0.0012888,            0.008548,            0.008548,            0.008548
                  46,             0.03704,            0.011457,           0.0024147,             0.92915,             0.95625,              0.9685,             0.47619,            0.030245,           0.0060471,           0.0010979,            0.008515,            0.008515,            0.008515
                  47,            0.037742,            0.011903,           0.0021907,             0.98608,             0.97562,             0.98964,             0.55718,            0.028726,           0.0057723,          0.00098162,            0.008482,            0.008482,            0.008482
                  48,             0.03649,            0.011805,            0.002433,             0.88699,             0.95981,             0.95678,             0.53996,            0.029529,           0.0054943,          0.00077837,            0.008449,            0.008449,            0.008449
                  49,            0.036356,             0.01081,           0.0017896,             0.99363,             0.99352,               0.995,             0.55551,            0.030104,            0.005491,          0.00066206,            0.008416,            0.008416,            0.008416
                  50,            0.035388,            0.011345,           0.0023264,             0.96059,             0.95637,             0.97601,             0.51517,            0.029418,           0.0059128,          0.00095004,            0.008383,            0.008383,            0.008383
                  51,            0.037207,            0.012846,            0.002104,             0.98259,             0.97136,             0.97963,             0.49725,            0.031012,           0.0056232,            0.001093,             0.00835,             0.00835,             0.00835
                  52,            0.036937,             0.01134,           0.0026279,               0.979,              0.9875,             0.99378,             0.55366,            0.028143,           0.0055762,          0.00072874,            0.008317,            0.008317,            0.008317
                  53,            0.035561,            0.011486,           0.0020327,             0.97362,             0.99375,             0.99233,             0.55207,            0.027339,            0.005542,          0.00069214,            0.008284,            0.008284,            0.008284
                  54,            0.033102,            0.010424,           0.0020284,              0.9716,             0.97875,             0.98132,             0.49512,            0.029287,           0.0056136,           0.0011631,            0.008251,            0.008251,            0.008251
                  55,            0.033317,            0.010788,            0.001964,             0.98567,             0.97937,             0.99075,             0.56874,            0.026615,           0.0055327,           0.0011955,            0.008218,            0.008218,            0.008218
                  56,            0.036789,            0.010619,           0.0016246,             0.95217,             0.96063,             0.97084,             0.46991,            0.032483,           0.0057488,          0.00092672,            0.008185,            0.008185,            0.008185
                  57,            0.034121,            0.011355,           0.0016118,             0.97411,             0.97549,             0.98825,             0.57922,            0.026493,            0.005431,            0.001081,            0.008152,            0.008152,            0.008152
                  58,            0.033696,           0.0096342,            0.001848,             0.98344,             0.99687,             0.99359,             0.58399,            0.026631,           0.0052035,          0.00076003,            0.008119,            0.008119,            0.008119
                  59,            0.035037,            0.010496,           0.0016157,             0.98022,               0.995,               0.992,               0.589,             0.02642,           0.0051992,          0.00073116,            0.008086,            0.008086,            0.008086
                  60,            0.034799,             0.01185,           0.0019358,             0.97031,             0.98521,             0.98482,             0.50001,            0.028866,           0.0054321,          0.00072396,            0.008053,            0.008053,            0.008053
